Actor/EditorSuffix/GuideVisualQuadSplat,(미사용) /// (Deprecated)=0
Sound/Name/DarkArchonSCBWMindControl@Sound,Sound=29247
Sound/Name/DarkArchonSCBWWeapon@Impact,Impact=29248
Sound/Name/DarkArchonSCBWWeapon@Launch,Launch=29249
Sound/Name/DarkTemplarSCBW@Attack,Attack=29250
Sound/Name/DarkTemplarSCBW@Death,Death=29251
Sound/Name/DarkTemplarSCBW@DeathFX,DeathFX=29252
Sound/Name/DarkTemplarSCBW@Help,Help=29253
Sound/Name/DarkTemplarSCBW@Land,Land=29254
Sound/Name/DarkTemplarSCBW@LandSweetener,LandSweetener=29255
Sound/Name/DarkTemplarSCBW@Pissed,Pissed=29256
Sound/Name/DarkTemplarSCBW@Ready,Ready=29257
Sound/Name/DarkTemplarSCBW@What,What=29258
Sound/Name/DarkTemplarSCBW@Yes,Yes=29259
Sound/Name/DarkTemplarSCBWWeapon@Impact,Impact=29260
Sound/Name/DarkTemplarSCBWWeapon@Launch,Launch=29261
Sound/Name/DeathSCBW,DeathSCBW=29262
Sound/Name/DefilerMoundSCBW@Explode,Explode=29263
Sound/Name/DefilerMoundSCBW@Ready,Ready=29264
Sound/Name/DefilerMoundSCBW@What,What=29265
Sound/Name/DefilerSCBW@Attack,Attack=29266
Sound/Name/DefilerSCBW@Death,Death=29267
Sound/Name/DefilerSCBW@Pissed,Pissed=29268
Sound/Name/DefilerSCBW@Ready,Ready=29269
Sound/Name/DefilerSCBW@What,What=29270
Sound/Name/DefilerSCBW@Yes,Yes=29271
Sound/Name/DefilerSCBWConsume@Consume,Consume=29272
Sound/Name/DefilerSCBWConsume@Impact,Impact=29273
Sound/Name/DefilerSCBWConsume@Launch,Launch=29274
Sound/Name/DefilerSCBWDarkSwarm@Launch,Launch=29275
Sound/Name/DefilerSCBWDarkSwarm@LoopSound,Loop Sound=29276
Sound/Name/DefilerSCBWDarkSwarm@MissileLaunch,Missile Launch=29277
Sound/Name/DefilerSCBWPlague@Impact,Impact=29278
Sound/Name/DefilerSCBWPlague@LoopSound,Loop Sound=29279
Sound/Name/DevourerSCBW@Attack,Attack=29280
Sound/Name/DevourerSCBW@Death,Death=29281
Sound/Name/DevourerSCBW@Help,Help=29282
Sound/Name/DevourerSCBW@Pissed,Pissed=29283
Sound/Name/DevourerSCBW@Ready,Ready=29284
Sound/Name/DevourerSCBW@What,What=29285
Sound/Name/DevourerSCBW@Yes,Yes=29286
Sound/Name/DevourerSCBWEgg@Explode,Explode=29287
Sound/Name/DevourerSCBWEgg@What,What=29288
Sound/Name/DevourerSCBWWeapon@Impact,Impact=29289
Sound/Name/DevourerSCBWWeapon@Launch,Launch=29290
Sound/Name/DragoonSCBW@Attack,Attack=29291
Sound/Name/DragoonSCBW@Death,Death=29292
Sound/Name/DragoonSCBW@Explode,Explode=29293
Sound/Name/DragoonSCBW@Help,Help=29294
Sound/Name/DragoonSCBW@Land,Land=29295
Sound/Name/DragoonSCBW@MoveStart,MoveStart=29296
Sound/Name/DragoonSCBW@Pissed,Pissed=29297
Sound/Name/DragoonSCBW@Ready,Ready=29298
Sound/Name/DragoonSCBW@What,What=29299
Sound/Name/DragoonSCBW@Yes,Yes=29300
Sound/Name/DragoonSCBWWeapon@Impact,Impact=29301
Sound/Name/DragoonSCBWWeapon@Launch,Launch=29302
Sound/Name/DroneSCBW@Attack,Attack=29303
Sound/Name/DroneSCBW@Death,Death=29304
Sound/Name/DroneSCBW@Explode,Explode=29305
Sound/Name/DroneSCBW@Harvest,Harvest=29306
Sound/Name/DroneSCBW@Help,Help=29307
Sound/Name/DroneSCBW@Pissed,Pissed=29308
Sound/Name/DroneSCBW@Ready,Ready=29309
Sound/Name/DroneSCBW@What,What=29310
Sound/Name/DroneSCBW@Yes,Yes=29311
Sound/Name/DroneSCBWWeapon@Impact,Impact=29312
Sound/Name/DroneSCBWWeapon@Launch,Launch=29313
Sound/Name/DropshipSCBW@Attack,Attack=29314
Sound/Name/DropshipSCBW@Explode,Explode=29315
Sound/Name/DropshipSCBW@Help,Help=29316
Sound/Name/DropshipSCBW@Land,Land=29317
Sound/Name/DropshipSCBW@Load,Load=29318
Sound/Name/DropshipSCBW@Movement,Movement=29319
Sound/Name/DropshipSCBW@Pissed,Pissed=29320
Sound/Name/DropshipSCBW@Ready,Ready=29321
Sound/Name/DropshipSCBW@Unload,Unload=29322
Sound/Name/DropshipSCBW@What,What=29323
Sound/Name/DropshipSCBW@Yes,Yes=29324
Sound/Name/DropshipSCBWSpeedBoost@Movement,Movement=29325
Sound/Name/DropshipSCBWSpeedBoost@On,DropshipSCBWSpeedBoost@On=29326
Sound/Name/DropshipSCBWSpeedBoost@On2,DropshipSCBWSpeedBoost@On=29327
Sound/Name/EggSCBW@Birth,Birth=29328
Sound/Name/EggSCBW@Death,Death=29329
Sound/Name/EggSCBW@Explode,Explode=29330
Sound/Name/EggSCBW@Pissed,Pissed=29331
Sound/Name/EggSCBW@Ready,Ready=29332
Sound/Name/EggSCBW@What,What=29333
Sound/Name/EngineeringBaySCBW@Explode,Explode=29334
Sound/Name/EngineeringBaySCBW@Land,Land=29335
Sound/Name/EngineeringBaySCBW@LiftOff,LiftOff=29336
Sound/Name/EngineeringBaySCBW@Movement,Movement=29337
Sound/Name/EngineeringBaySCBW@Ready,Ready=29338
Sound/Name/EngineeringBaySCBW@What,What=29339
Sound/Name/EvolutionChamberSCBW@Explode,Explode=29340
Sound/Name/EvolutionChamberSCBW@Ready,Ready=29341
Sound/Name/EvolutionChamberSCBW@What,What=29342
Sound/Name/ExtractorSCBW@Explode,Explode=29343
Sound/Name/ExtractorSCBW@Ready,Ready=29344
Sound/Name/ExtractorSCBW@What,What=29345
Sound/Name/FactorySCBW@Explode,Explode=29346
Sound/Name/FactorySCBW@Land,Land=29347
Sound/Name/FactorySCBW@LiftOff,LiftOff=29348
Sound/Name/FactorySCBW@Movement,Movement=29349
Sound/Name/FactorySCBW@Ready,Ready=29350
Sound/Name/FactorySCBW@What,What=29351
Sound/Name/FirebatSCBW@Attack,Attack=29352
Sound/Name/FirebatSCBW@Explode,Explode=29353
Sound/Name/FirebatSCBW@Help,Help=29354
Sound/Name/FirebatSCBW@Land,Land=29355
Sound/Name/FirebatSCBW@Pissed,Pissed=29356
Sound/Name/FirebatSCBW@Ready,Ready=29357
Sound/Name/FirebatSCBW@What,What=29358
Sound/Name/FirebatSCBW@Yes,Yes=29359
Sound/Name/FirebatSCBWStimpack@Launch,Launch=29360
Sound/Name/FirebatSCBWWeapon@BunkerLaunch,Bunker Launch=29361
Sound/Name/FirebatSCBWWeapon@Impact,Impact=29362
Sound/Name/FirebatSCBWWeapon@Launch,Launch=29363
Sound/Name/FleetBeaconSCBW@Explode,Explode=29364
Sound/Name/FleetBeaconSCBW@Ready,Ready=29365
Sound/Name/FleetBeaconSCBW@What,What=29366
Sound/Name/ForgeSCBW@Explode,Explode=29367
Sound/Name/ForgeSCBW@Ready,Ready=29368
Sound/Name/ForgeSCBW@What,What=29369
Sound/Name/GameMusicObserverAllSCI,Game Music - Observer SCI=29370
Sound/Name/GameMusicObserver_ALL,Game Music - Observer_ALL=29371
Sound/Name/GameMusicObserver_SCI,Game Music - Observer_SCI=29372
Sound/Name/GatewaySCBW@Explode,Explode=29373
Sound/Name/GatewaySCBW@Ready,Ready=29374
Sound/Name/GatewaySCBW@What,What=29375
Sound/Name/GhostSCBW@Attack,Attack=29376
Sound/Name/GhostSCBW@Death,Death=29377
Sound/Name/GhostSCBW@DeathFXBloodSpray,Death FX Blood Spray=29378
Sound/Name/GhostSCBW@Explode,Explode=29379
Sound/Name/GhostSCBW@Help,Help=29380
Sound/Name/GhostSCBW@Land,Land=29381
Sound/Name/GhostSCBW@Pissed,Pissed=29382
Sound/Name/GhostSCBW@Ready,Ready=29383
Sound/Name/GhostSCBW@What,What=29384
Sound/Name/GhostSCBW@Yes,Yes=29385
Sound/Name/GhostSCBWCloak@Off,Off=29386
Sound/Name/GhostSCBWCloak@On,On=29387
Sound/Name/GhostSCBWLockdown@Birth,Birth=29388
Sound/Name/GhostSCBWLockdown@Impact,Impact=29389
Sound/Name/GhostSCBWLockdown@Launch,Launch=29390
Sound/Name/GhostSCBWNuclearStrike@Drop,Drop=29391
Sound/Name/GhostSCBWNuclearStrike@Explode,Explode=29392
Sound/Name/GhostSCBWNuclearStrike@Impact,Impact=29393
Sound/Name/GhostSCBWNuclearStrike@Launch,Launch=29394
Sound/Name/GhostSCBWNuclearStrike@Seek,Seek=29395
Sound/Name/GhostSCBWNuclearStrike@TargetSound,Target Sound=29396
Sound/Name/GhostSCBWWeapon@BunkerLaunch,Bunker Launch=29397
Sound/Name/GhostSCBWWeapon@Impact,Impact=29398
Sound/Name/GhostSCBWWeapon@Launch,Launch=29399
Sound/Name/GoliathSCBW@Attack,Attack=29400
Sound/Name/GoliathSCBW@Explode,Explode=29401
Sound/Name/GoliathSCBW@Help,Help=29402
Sound/Name/GoliathSCBW@Land,Land=29403
Sound/Name/GoliathSCBW@Movement,Movement=29404
Sound/Name/GoliathSCBW@Pissed,Pissed=29405
Sound/Name/GoliathSCBW@Ready,Ready=29406
Sound/Name/GoliathSCBW@What,What=29407
Sound/Name/GoliathSCBW@Yes,Yes=29408
Sound/Name/GoliathSCBWWeaponAir@Impact,Impact=29409
Sound/Name/GoliathSCBWWeaponAir@Launch,Launch=29410
Sound/Name/GoliathSCBWWeaponGround@Impact,Impact=29411
Sound/Name/GoliathSCBWWeaponGround@Launch,Launch=29412
Sound/Name/GreaterSpireSCBW@Explode,Explode=29413
Sound/Name/GreaterSpireSCBW@Ready,Ready=29414
Sound/Name/GreaterSpireSCBW@What,What=29415
Sound/Name/GuardianSCBW@Attack,Attack=29416
Sound/Name/GuardianSCBW@Death,Death=29417
Sound/Name/GuardianSCBW@Pissed,Pissed=29418
Sound/Name/GuardianSCBW@Ready,Ready=29419
Sound/Name/GuardianSCBW@What,What=29420
Sound/Name/GuardianSCBW@Yes,Yes=29421
Sound/Name/GuardianSCBWEgg@Explode,Explode=29422
Sound/Name/GuardianSCBWEgg@What,What=29423
Sound/Name/GuardianSCBWWeapon@Impact,Impact=29424
Sound/Name/GuardianSCBWWeapon@Launch,Launch=29425
Sound/Name/HatcherySCBW@Explode,Explode=29426
Sound/Name/HatcherySCBW@Ready,Ready=29427
Sound/Name/HatcherySCBW@What,What=29428
Sound/Name/HighTemplarSCBW@Attack,Attack=29429
Sound/Name/HighTemplarSCBW@Death,Death=29430
Sound/Name/HighTemplarSCBW@Help,Help=29431
Sound/Name/HighTemplarSCBW@Land,Land=29432
Sound/Name/HighTemplarSCBW@LandSweetener,LandSweetener=29433
Sound/Name/HighTemplarSCBW@Pissed,Pissed=29434
Sound/Name/HighTemplarSCBW@Ready,Ready=29435
Sound/Name/HighTemplarSCBW@What,What=29436
Sound/Name/HighTemplarSCBW@Yes,Yes=29437
Sound/Name/HighTemplarSCBWHallucination@Death,Death=29438
Sound/Name/HighTemplarSCBWHallucination@Launch,Launch=29439
Sound/Name/HighTemplarSCBWPsiStorm@Impact,Impact=29440
Sound/Name/HighTemplarSCBWPsiStorm@Launch,Launch=29441
Sound/Name/HighTemplarSCBWWeapon@AttackImpact,AttackImpact=29442
Sound/Name/HighTemplarSCBWWeapon@AttackLaunch,AttackLaunch=29443
Sound/Name/HighTemplarSCBWWeapon@Impact,Impact=29444
Sound/Name/HighTemplarSCBWWeapon@Launch,Launch=29445
Sound/Name/HiveSCBW@Ready,Ready=29446
Sound/Name/HiveSCBW@What,What=29447
Sound/Name/HydraliskDenSCBW@Explode,Explode=29448
Sound/Name/HydraliskDenSCBW@Ready,Ready=29449
Sound/Name/HydraliskDenSCBW@What,What=29450
Sound/Name/HydraliskSCBW@Attack,Attack=29451
Sound/Name/HydraliskSCBW@Death,Death=29452
Sound/Name/HydraliskSCBW@Explode,Explode=29453
Sound/Name/HydraliskSCBW@Pissed,Pissed=29454
Sound/Name/HydraliskSCBW@Ready,Ready=29455
Sound/Name/HydraliskSCBW@What,What=29456
Sound/Name/HydraliskSCBW@Yes,Yes=29457
Sound/Name/HydraliskSCBWWeapon@Impact,Impact=29458
Sound/Name/HydraliskSCBWWeapon@Launch,Launch=29459
Sound/Name/InfestedCommandCenterSCBW@Explode,Explode=29460
Sound/Name/InfestedCommandCenterSCBW@Land,Land=29461
Sound/Name/InfestedCommandCenterSCBW@LiftOff,LiftOff=29462
Sound/Name/InfestedCommandCenterSCBW@Movement,Movement=29463
Sound/Name/InfestedCommandCenterSCBW@Ready,Ready=29464
Sound/Name/InfestedCommandCenterSCBW@What,What=29465
Sound/Name/InfestedTerranSCBW@Attack,Attack=29466
Sound/Name/InfestedTerranSCBW@Death,Death=29467
Sound/Name/InfestedTerranSCBW@Pissed,Pissed=29468
Sound/Name/InfestedTerranSCBW@Ready,Ready=29469
Sound/Name/InfestedTerranSCBW@What,What=29470
Sound/Name/InfestedTerranSCBW@Yes,Yes=29471
Sound/Name/InterceptorSCBW@Death,Death=29472
Sound/Name/InterceptorSCBW@Land,Land=29473
Sound/Name/InterceptorSCBWWeapon@Impact,Impact=29474
Sound/Name/InterceptorSCBWWeapon@Launch,Launch=29475
Sound/Name/KerriganSCBW@Attack,Attack=29476
Sound/Name/KerriganSCBW@Death,Death=29477
Sound/Name/KerriganSCBW@Explode,Explode=29478
Sound/Name/KerriganSCBW@Help,Help=29479
Sound/Name/KerriganSCBW@Land,Land=29480
Sound/Name/KerriganSCBW@Pissed,Pissed=29481
Sound/Name/KerriganSCBW@Ready,Ready=29482
Sound/Name/KerriganSCBW@What,What=29483
Sound/Name/KerriganSCBW@Yes,Yes=29484
Sound/Name/LairSCBW@Ready,Ready=29485
Sound/Name/LairSCBW@What,What=29486
Sound/Name/LarvaSCBW@Death,Death=29487
Sound/Name/LarvaSCBW@Explode,Explode=29488
Sound/Name/LarvaSCBW@Pissed,Pissed=29489
Sound/Name/LarvaSCBW@What,What=29490
Sound/Name/LurkerSCBW@Attack,Attack=29491
Sound/Name/LurkerSCBW@BurrowDown,BurrowDown=29492
Sound/Name/LurkerSCBW@Death,Death=29493
Sound/Name/LurkerSCBW@Explode,Explode=29494
Sound/Name/LurkerSCBW@Land,Land=29495
Sound/Name/LurkerSCBW@Pissed,Pissed=29496
Sound/Name/LurkerSCBW@Ready,Ready=29497
Sound/Name/LurkerSCBW@What,What=29498
Sound/Name/LurkerSCBW@Yes,Yes=29499
Sound/Name/LurkerSCBWEgg@Birth,Birth=29500
Sound/Name/LurkerSCBWEgg@Explode,Explode=29501
Sound/Name/LurkerSCBWEgg@What,What=29502
Sound/Name/LurkerSCBWWeapon@Launch,Launch=29503
Sound/Name/LurkerSCBWWeapon@LaunchInitial,Launch Initial=29504
Sound/Name/LurkerSCBWWeapon@LaunchSecondary,Launch Secondary=29505
Sound/Name/MachineShopSCBW@Birth,Birth=29506
Sound/Name/MachineShopSCBW@Explode,Explode=29507
Sound/Name/MachineShopSCBW@Ready,Ready=29508
Sound/Name/MachineShopSCBW@What,What=29509
Sound/Name/MarineSCBW@Attack,Attack=29510
Sound/Name/MarineSCBW@CheerSquibSound,Cheer Squib Sound=29511
Sound/Name/MarineSCBW@Death,Death=29512
Sound/Name/MarineSCBW@DeathFXBlast,Death FX Blast=29513
Sound/Name/MarineSCBW@DeathFXBloodSpray,Death FX Blood Spray=29514
Sound/Name/MarineSCBW@DeathFXEat,Death FX Eat=29515
Sound/Name/MarineSCBW@DeathFXEviscerate,Death FX Eviscerate=29516
Sound/Name/MarineSCBW@DeathFXFire,Death FX Fire=29517
Sound/Name/MarineSCBW@DeathFXSilentKill,Death FX Silent Kill=29518
Sound/Name/MarineSCBW@DeathNP,DeathNP=29519
Sound/Name/MarineSCBW@Help,Help=29520
Sound/Name/MarineSCBW@Land,Land=29521
Sound/Name/MarineSCBW@Pissed,Pissed=29522
Sound/Name/MarineSCBW@Ready,Ready=29523
Sound/Name/MarineSCBW@StimPackVO,StimPack VO=29524
Sound/Name/MarineSCBW@What,What=29525
Sound/Name/MarineSCBW@Yes,Yes=29526
Sound/Name/MarineSCBWStimpack@Launch,Launch=29527
Sound/Name/MarineSCBWWeapon@BunkerLaunch,Bunker Launch=29528
Sound/Name/MarineSCBWWeapon@Impact,Impact=29529
Sound/Name/MarineSCBWWeapon@Launch,Launch=29530
Sound/Name/MedicSCBW@Attack,Attack=29531
Sound/Name/MedicSCBW@Death,Death=29532
Sound/Name/MedicSCBW@DeathFXBloodSpray,Death FX Blood Spray=29533
Sound/Name/MedicSCBW@Explode,Explode=29534
Sound/Name/MedicSCBW@Help,Help=29535
Sound/Name/MedicSCBW@Land,Land=29536
Sound/Name/MedicSCBW@Pissed,Pissed=29537
Sound/Name/MedicSCBW@Ready,Ready=29538
Sound/Name/MedicSCBW@What,What=29539
Sound/Name/MedicSCBW@Yes,Yes=29540
Sound/Name/MedicSCBWHeal@Loop,Loop=29541
Sound/Name/MedicSCBWHeal@Start,Start=29542
Sound/Name/MedicSCBWHeal@Stop,Stop=29543
Sound/Name/MedicSCBWOpticFlare@Impact,Impact=29544
Sound/Name/MedicSCBWOpticFlare@Launch,Launch=29545
Sound/Name/MedicSCBWRestoration@Impact,Impact=29546
Sound/Name/MissileTurretSCBW@Explode,Explode=29547
Sound/Name/MissileTurretSCBW@Ready,Ready=29548
Sound/Name/MissileTurretSCBW@What,What=29549
Sound/Name/MissileTurretSCBWWeapon@Impact,Impact=29550
Sound/Name/MissileTurretSCBWWeapon@Launch,Launch=29551
Sound/Name/MutaliskSCBW@Attack,Attack=29552
Sound/Name/MutaliskSCBW@Death,Death=29553
Sound/Name/MutaliskSCBW@Explode,Explode=29554
Sound/Name/MutaliskSCBW@Pissed,Pissed=29555
Sound/Name/MutaliskSCBW@Ready,Ready=29556
Sound/Name/MutaliskSCBW@What,What=29557
Sound/Name/MutaliskSCBW@Yes,Yes=29558
Sound/Name/MutaliskSCBWWeapon@Impact,Impact=29559
Sound/Name/MutaliskSCBWWeapon@Launch,Launch=29560
Sound/Name/NexusSCBW@Explode,Explode=29561
Sound/Name/NexusSCBW@Ready,Ready=29562
Sound/Name/NexusSCBW@What,What=29563
Sound/Name/NuclearSiloSCBW@Birth,Birth=29564
Sound/Name/NuclearSiloSCBW@Explode,Explode=29565
Sound/Name/NuclearSiloSCBW@Ready,Ready=29566
Sound/Name/NuclearSiloSCBW@What,What=29567
Sound/Name/NukeSCBW@Ready,Ready=29568
Sound/Name/NydusCanalSCBW@Explode,Explode=29569
Sound/Name/NydusCanalSCBW@Ready,Ready=29570
Sound/Name/NydusCanalSCBW@TransportLoad,Transport Load=29571
Sound/Name/NydusCanalSCBW@TransportUnload,Transport Unload=29572
Sound/Name/NydusCanalSCBW@What,What=29573
Sound/Name/ObservatorySCBW@Explode,Explode=29574
Sound/Name/ObservatorySCBW@Ready,Ready=29575
Sound/Name/ObservatorySCBW@What,What=29576
Sound/Name/ObserverSCBW@Attack,Attack=29577
Sound/Name/ObserverSCBW@Death,Death=29578
Sound/Name/ObserverSCBW@Help,Help=29579
Sound/Name/ObserverSCBW@Pissed,Pissed=29580
Sound/Name/ObserverSCBW@Ready,Ready=29581
Sound/Name/ObserverSCBW@What,What=29582
Sound/Name/ObserverSCBW@Yes,Yes=29583
Sound/Name/ObserverSCBWSieged@Loop,Loop=29584
Sound/Name/ObserverSCBWSieged@MorphEnd,MorphEnd=29585
Sound/Name/ObserverSCBWSieged@MorphStart,MorphStart=29586
Sound/Name/OverlordSCBW@Attack,Attack=29587
Sound/Name/OverlordSCBW@Death,Death=29588
Sound/Name/OverlordSCBW@Help,Help=29589
Sound/Name/OverlordSCBW@Land,Land=29590
Sound/Name/OverlordSCBW@Pissed,Pissed=29591
Sound/Name/OverlordSCBW@Ready,Ready=29592
Sound/Name/OverlordSCBW@TransportLoad,Transport Load=29593
Sound/Name/OverlordSCBW@TransportUnload,Transport Unload=29594
Sound/Name/OverlordSCBW@What,What=29595
Sound/Name/OverlordSCBW@Yes,Yes=29596
Sound/Name/PhotonCannonSCBW@Explode,Explode=29597
Sound/Name/PhotonCannonSCBW@Ready,Ready=29598
Sound/Name/PhotonCannonSCBW@What,What=29599
Sound/Name/PhotonCannonSCBWWeapon@Impact,Impact=29600
Sound/Name/PhotonCannonSCBWWeapon@Launch,Launch=29601
Sound/Name/PhysicsLabSCBW@Birth,Birth=29602
Sound/Name/PhysicsLabSCBW@Explode,Explode=29603
Sound/Name/PhysicsLabSCBW@Ready,Ready=29604
Sound/Name/PhysicsLabSCBW@What,What=29605
Sound/Name/ProbeSCBW@Attack,Attack=29606
Sound/Name/ProbeSCBW@Death,Death=29607
Sound/Name/ProbeSCBW@Explode,Explode=29608
Sound/Name/ProbeSCBW@Harvest,Harvest=29609
Sound/Name/ProbeSCBW@Help,Help=29610
Sound/Name/ProbeSCBW@Land,Land=29611
Sound/Name/ProbeSCBW@Pissed,Pissed=29612
Sound/Name/ProbeSCBW@Ready,Ready=29613
Sound/Name/ProbeSCBW@What,What=29614
Sound/Name/ProbeSCBW@Yes,Yes=29615
Sound/Name/ProbeSCBWWeapon@Impact,Impact=29616
Sound/Name/ProbeSCBWWeapon@Launch,Launch=29617
Sound/Name/ProtossAckSCBW,ProtossAckSCBW=29618
Sound/Name/ProtossBuildingSCBW@FlameLoopLarge,Flame Loop Large=29619
Sound/Name/ProtossBuildingSCBW@FlameLoopMedium,Flame Loop Medium=29620
Sound/Name/ProtossBuildingSCBW@FlameLoopSmall,Flame Loop Small=29621
Sound/Name/ProtossBuildingSCBW@Placement,Placement=29622
Sound/Name/ProtossBuildingSCBW@PlacementSmall,Placement Small=29623
Sound/Name/ProtossBuildingSCBW@WarpStart,WarpStart=29624
Sound/Name/ProtossDeathSCBW,ProtossDeathSCBW=29625
Sound/Name/ProtossReadySCBW,ProtossReadySCBW=29626
Sound/Name/ProtossSCBW@BuildingWarpIn,ProtossSCBW@BuildingWarpIn=29627
Sound/Name/PylonSCBW@Explode,Explode=29628
Sound/Name/PylonSCBW@Ready,Ready=29629
Sound/Name/PylonSCBW@What,What=29630
Sound/Name/QueenSCBW@Attack,Attack=29631
Sound/Name/QueenSCBW@Death,Death=29632
Sound/Name/QueenSCBW@Help,Help=29633
Sound/Name/QueenSCBW@Pissed,Pissed=29634
Sound/Name/QueenSCBW@Ready,Ready=29635
Sound/Name/QueenSCBW@What,What=29636
Sound/Name/QueenSCBW@Yes,Yes=29637
Sound/Name/QueenSCBWEnsnare@Impact,Impact=29638
Sound/Name/QueenSCBWEnsnare@Launch,Launch=29639
Sound/Name/QueenSCBWInfestCommandCenter@InfestEnd,Infest End=29640
Sound/Name/QueenSCBWInfestCommandCenter@InfestStart,Infest Start=29641
Sound/Name/QueenSCBWInfestCommandCenter@LaunchSound,Launch Sound=29642
Sound/Name/QueenSCBWInfestCommandCenter@LoopSound,Loop Sound=29643
Sound/Name/QueenSCBWParasite@Impact,Impact=29644
Sound/Name/QueenSCBWParasite@Launch,Launch=29645
Sound/Name/QueenSCBWSpawnBroodlings@Impact,Impact=29646
Sound/Name/QueenSCBWSpawnBroodlings@Launch,Launch=29647
Sound/Name/QueensNestSCBW@Explode,Explode=29648
Sound/Name/QueensNestSCBW@Ready,Ready=29649
Sound/Name/QueensNestSCBW@What,What=29650
Sound/Name/ReadySCBW,ReadySCBW=29651
Sound/Name/ReaverSCBW@Attack,Attack=29652
Sound/Name/ReaverSCBW@Death,Death=29653
Sound/Name/ReaverSCBW@Help,Help=29654
Sound/Name/ReaverSCBW@Land,Land=29655
Sound/Name/ReaverSCBW@Pissed,Pissed=29656
Sound/Name/ReaverSCBW@Ready,Ready=29657
Sound/Name/ReaverSCBW@What,What=29658
Sound/Name/ReaverSCBW@Yes,Yes=29659
Sound/Name/ReaverSCBWWeapon@Explode,Explode=29660
Sound/Name/ReaverSCBWWeapon@ExplodeDud,Explode Dud=29661
Sound/Name/ReaverSCBWWeapon@Launch,Launch=29662
Sound/Name/RefinerySCBW@Explode,Explode=29663
Sound/Name/RefinerySCBW@Ready,Ready=29664
Sound/Name/RefinerySCBW@What,What=29665
Sound/Name/RoboticsBaySCBW@Explode,Explode=29666
Sound/Name/RoboticsBaySCBW@Ready,Ready=29667
Sound/Name/RoboticsBaySCBW@What,What=29668
Sound/Name/RoboticsFacilitySCBW@Explode,Explode=29669
Sound/Name/RoboticsFacilitySCBW@Ready,Ready=29670
Sound/Name/RoboticsFacilitySCBW@What,What=29671
Sound/Name/SCBW_Silent,SCBW_Silent=29672
Sound/Name/SCVSCBW@Attack,Attack=29673
Sound/Name/SCVSCBW@Build,Build=29674
Sound/Name/SCVSCBW@Explode,Explode=29675
Sound/Name/SCVSCBW@Harvest,Harvest=29676
Sound/Name/SCVSCBW@Land,Land=29677
Sound/Name/SCVSCBW@Pissed,Pissed=29678
Sound/Name/SCVSCBW@Ready,Ready=29679
Sound/Name/SCVSCBW@Repair,Repair=29680
Sound/Name/SCVSCBW@What,What=29681
Sound/Name/SCVSCBW@Yes,Yes=29682
Sound/Name/SCVSCBWWeapon@Launch,Launch=29683
Sound/Name/ScienceFacilitySCBW@Explode,Explode=29684
Sound/Name/ScienceFacilitySCBW@Land,Land=29685
Sound/Name/ScienceFacilitySCBW@LiftOff,LiftOff=29686
Sound/Name/ScienceFacilitySCBW@Movement,Movement=29687
Sound/Name/ScienceFacilitySCBW@Ready,Ready=29688
Sound/Name/ScienceFacilitySCBW@What,What=29689
Sound/Name/ScienceVesselSCBW@Attack,Attack=29690
Sound/Name/ScienceVesselSCBW@Death,Death=29691
Sound/Name/ScienceVesselSCBW@Help,Help=29692
Sound/Name/ScienceVesselSCBW@Movement,Movement=29693
Sound/Name/ScienceVesselSCBW@Pissed,Pissed=29694
Sound/Name/ScienceVesselSCBW@Ready,Ready=29695
Sound/Name/ScienceVesselSCBW@What,What=29696
Sound/Name/ScienceVesselSCBW@Yes,Yes=29697
Sound/Name/ScienceVesselSCBWDefensiveMatrix@Birth,Birth=29698
Sound/Name/ScienceVesselSCBWDefensiveMatrix@Death,Death=29699
Sound/Name/ScienceVesselSCBWEMPShockwave@Impact,Impact=29700
Sound/Name/ScienceVesselSCBWEMPShockwave@Launch,Launch=29701
Sound/Name/ScienceVesselSCBWIrradiate@Impact,Impact=29702
Sound/Name/ScourgeSCBW@Attack,Attack=29703
Sound/Name/ScourgeSCBW@Death,Death=29704
Sound/Name/ScourgeSCBW@Pissed,Pissed=29705
Sound/Name/ScourgeSCBW@Ready,Ready=29706
Sound/Name/ScourgeSCBW@What,What=29707
Sound/Name/ScourgeSCBW@Yes,Yes=29708
Sound/Name/ScourgeSCBWWeapon@Impact,Impact=29709
Sound/Name/ScourgeSCBWWeapon@Launch,Launch=29710
Sound/Name/ScoutSCBW@Attack,Attack=29711
Sound/Name/ScoutSCBW@Death,Death=29712
Sound/Name/ScoutSCBW@Help,Help=29713
Sound/Name/ScoutSCBW@Movement,Movement=29714
Sound/Name/ScoutSCBW@Pissed,Pissed=29715
Sound/Name/ScoutSCBW@Ready,Ready=29716
Sound/Name/ScoutSCBW@What,What=29717
Sound/Name/ScoutSCBW@Yes,Yes=29718
Sound/Name/ScoutSCBWWeaponAir@Impact,Impact=29719
Sound/Name/ScoutSCBWWeaponAir@Launch,Launch=29720
Sound/Name/ScoutSCBWWeaponGround@Impact,Impact=29721
Sound/Name/ScoutSCBWWeaponGround@Launch,Launch=29722
Sound/Name/ShieldBatterySCBW@Explode,Explode=29723
Sound/Name/ShieldBatterySCBW@Ready,Ready=29724
Sound/Name/ShieldBatterySCBW@What,What=29725
Sound/Name/ShieldBatterySCBWRecharge@SoundLoopCaster,SoundLoopCaster=29726
